fila,subfila,columna,subcolumna,valor
Almería,61 AUTOMOVILES Y MOTOS,2019,EXPORT,"1926141,07"
Almería,62 COMPONENTES DEL AUTOMOVIL,2019,EXPORT,"1310208,11"
Almería,71 ELECTRODOMESTICOS,2019,EXPORT,"223455,40"
Almería,72 ELECTRONICA DE CONSUMO,2019,EXPORT,"46881248,89"
Almería,73 MUEBLES,2019,EXPORT,"1207850,67"
Almería,74 OTROS BIENES CONSUMO DURADERO,2019,EXPORT,"3011219,90"
Almería,81 TEXTILES Y CONFECCION,2019,EXPORT,"21969745,82"
Almería,82 CALZADO,2019,EXPORT,"1122055,06"
Almería,83 JUGUETES,2019,EXPORT,"1220933,67"
Almería,84 ALFARERIA,2019,EXPORT,"803144,13"
Almería,85 JOYERIA Y RELOJES,2019,EXPORT,"411848,07"
Almería,86 CUERO Y MANUFACTURAS DEL CUERO,2019,EXPORT,"73017,60"
Almería,87 OTRAS MANUFACTURAS DE CONSUMO,2019,EXPORT,"33525513,14"
Almería,90 OTRAS MERCANCIAS,2019,EXPORT,"9678969,06"
Cádiz,Total seleccionado,2019,EXPORT,"6721157323,94"
Cádiz,11 PRODUCTOS CÁRNICOS,2019,EXPORT,"44130674,21"
Cádiz,12 LACTEOS Y HUEVOS,2019,EXPORT,"13787313,28"
Cádiz,13 PRODUCTOS PESQUEROS,2019,EXPORT,"187475409,24"
Cádiz,14 CEREALES,2019,EXPORT,"79059276,50"
Cádiz,"15 FRUTAS, HORTALIZAS Y LEGUMBRES",2019,EXPORT,"177750869,20"
Cádiz,"16 AZUCAR, CAFE Y CACAO",2019,EXPORT,"14444714,69"
Cádiz,17 PREPARADOS ALIMENTICIOS,2019,EXPORT,"19711648,80"
Cádiz,18 BEBIDAS,2019,EXPORT,"261682428,39"
Cádiz,19 TABACOS,2019,EXPORT,"8728725,86"
Cádiz,1A GRASAS Y ACEITES,2019,EXPORT,"19626592,72"
Cádiz,1B SEMILLAS Y FRUTOS OLEAGINOSOS,2019,EXPORT,"40252,15"
Cádiz,1C PIENSOS ANIMALES,2019,EXPORT,"6651497,03"
Cádiz,21 CARBON,2019,EXPORT,"38149,04"
Cádiz,22 PETROLEO Y DERIVADOS,2019,EXPORT,"3048126262,22"
Cádiz,23 GAS,2019,EXPORT,"44408573,51"
Cádiz,24 CORRIENTE ELECTRICA,2019,EXPORT,
Cádiz,31 MAT. PRIMAS ANIMALES Y VEGETAL,2019,EXPORT,"24043167,81"
Cádiz,32 MENAS Y MINERALES,2019,EXPORT,"13203074,81"
Cádiz,41 METALES NO FERROSOS,2019,EXPORT,"25049626,36"
Cádiz,42 HIERRO Y ACERO,2019,EXPORT,"888507250,40"
Cádiz,43 PRODUCTOS QUIMICOS,2019,EXPORT,"559130876,18"
Cádiz,44 OTRAS SEMIMANUFACTURAS,2019,EXPORT,"65260205,09"
Cádiz,51 MAQ. ESPECIFICA CIERTAS INDUST,2019,EXPORT,"62689076,56"
Cádiz,52 EQUIPO OFICINA Y TELECOMUNIC.,2019,EXPORT,"14435158,83"
Cádiz,53 MATERIAL TRANSPORTE,2019,EXPORT,"48726169,02"
Cádiz,54 OTROS BIENES DE EQUIPO,2019,EXPORT,"539062519,22"
Cádiz,61 AUTOMOVILES Y MOTOS,2019,EXPORT,"17546195,21"
Cádiz,62 COMPONENTES DEL AUTOMOVIL,2019,EXPORT,"19803383,75"
Cádiz,71 ELECTRODOMESTICOS,2019,EXPORT,"4463929,38"
Cádiz,72 ELECTRONICA DE CONSUMO,2019,EXPORT,"1142796,91"
Cádiz,73 MUEBLES,2019,EXPORT,"10876714,69"
Cádiz,74 OTROS BIENES CONSUMO DURADERO,2019,EXPORT,"682750,05"
Cádiz,81 TEXTILES Y CONFECCION,2019,EXPORT,"55065872,98"
Cádiz,82 CALZADO,2019,EXPORT,"2719407,08"
Cádiz,83 JUGUETES,2019,EXPORT,"4848969,35"
Cádiz,84 ALFARERIA,2019,EXPORT,"76458,26"
Cádiz,85 JOYERIA Y RELOJES,2019,EXPORT,"581302,84"
Cádiz,86 CUERO Y MANUFACTURAS DEL CUERO,2019,EXPORT,"833071,91"
Cádiz,87 OTRAS MANUFACTURAS DE CONSUMO,2019,EXPORT,"76933750,93"
Cádiz,90 OTRAS MERCANCIAS,2019,EXPORT,"359813209,48"
Córdoba,Total seleccionado,2019,EXPORT,"2009254970,75"
Córdoba,11 PRODUCTOS CÁRNICOS,2019,EXPORT,"40082145,87"
Córdoba,12 LACTEOS Y HUEVOS,2019,EXPORT,"8362146,43"
Córdoba,13 PRODUCTOS PESQUEROS,2019,EXPORT,"533813,31"
Córdoba,14 CEREALES,2019,EXPORT,"17857988,88"
Córdoba,"15 FRUTAS, HORTALIZAS Y LEGUMBRES",2019,EXPORT,"279369454,22"
Córdoba,"16 AZUCAR, CAFE Y CACAO",2019,EXPORT,"19954840,14"
Córdoba,17 PREPARADOS ALIMENTICIOS,2019,EXPORT,"18018940,04"
Córdoba,18 BEBIDAS,2019,EXPORT,"12005213,44"
Córdoba,19 TABACOS,2019,EXPORT,
Córdoba,1A GRASAS Y ACEITES,2019,EXPORT,"531051167,58"
Córdoba,1B SEMILLAS Y FRUTOS OLEAGINOSOS,2019,EXPORT,"13796767,99"
Córdoba,1C PIENSOS ANIMALES,2019,EXPORT,"13529399,07"
Córdoba,21 CARBON,2019,EXPORT,
Córdoba,22 PETROLEO Y DERIVADOS,2019,EXPORT,"1451082,35"
Córdoba,23 GAS,2019,EXPORT,
Córdoba,24 CORRIENTE ELECTRICA,2019,EXPORT,
Córdoba,31 MAT. PRIMAS ANIMALES Y VEGETAL,2019,EXPORT,"17142351,79"
Córdoba,32 MENAS Y MINERALES,2019,EXPORT,"5711127,37"
Córdoba,41 METALES NO FERROSOS,2019,EXPORT,"490712256,60"
Córdoba,42 HIERRO Y ACERO,2019,EXPORT,"32260137,36"
Córdoba,43 PRODUCTOS QUIMICOS,2019,EXPORT,"105397386,98"
Córdoba,44 OTRAS SEMIMANUFACTURAS,2019,EXPORT,"31027547,87"
Córdoba,51 MAQ. ESPECIFICA CIERTAS INDUST,2019,EXPORT,"119923038,21"
Córdoba,52 EQUIPO OFICINA Y TELECOMUNIC.,2019,EXPORT,"1735128,28"
Córdoba,53 MATERIAL TRANSPORTE,2019,EXPORT,"5130105,09"
Córdoba,54 OTROS BIENES DE EQUIPO,2019,EXPORT,"94054591,00"
Córdoba,61 AUTOMOVILES Y MOTOS,2019,EXPORT,"7639326,30"
Córdoba,62 COMPONENTES DEL AUTOMOVIL,2019,EXPORT,"5233876,24"
Córdoba,71 ELECTRODOMESTICOS,2019,EXPORT,"1166674,24"
Córdoba,72 ELECTRONICA DE CONSUMO,2019,EXPORT,"171102,85"
Córdoba,73 MUEBLES,2019,EXPORT,"20588891,42"
Córdoba,74 OTROS BIENES CONSUMO DURADERO,2019,EXPORT,"7316079,81"
Córdoba,81 TEXTILES Y CONFECCION,2019,EXPORT,"33888916,36"
Córdoba,82 CALZADO,2019,EXPORT,"24980,05"
Córdoba,83 JUGUETES,2019,EXPORT,"153010,41"
Córdoba,84 ALFARERIA,2019,EXPORT,"2734266,44"
Córdoba,85 JOYERIA Y RELOJES,2019,EXPORT,"56338034,47"
Córdoba,86 CUERO Y MANUFACTURAS DEL CUERO,2019,EXPORT,"12607,78"
Córdoba,87 OTRAS MANUFACTURAS DE CONSUMO,2019,EXPORT,"9184137,10"
Córdoba,90 OTRAS MERCANCIAS,2019,EXPORT,"5696437,41"
Granada,Total seleccionado,2019,EXPORT,"1268669358,58"
Granada,11 PRODUCTOS CÁRNICOS,2019,EXPORT,"12866320,50"
Granada,12 LACTEOS Y HUEVOS,2019,EXPORT,"1503617,24"
Granada,13 PRODUCTOS PESQUEROS,2019,EXPORT,"799068,64"
Granada,14 CEREALES,2019,EXPORT,"38076,55"
Granada,"15 FRUTAS, HORTALIZAS Y LEGUMBRES",2019,EXPORT,"437786572,24"
Granada,"16 AZUCAR, CAFE Y CACAO",2019,EXPORT,"4190940,32"
Granada,17 PREPARADOS ALIMENTICIOS,2019,EXPORT,"102798406,65"
Granada,18 BEBIDAS,2019,EXPORT,"7458609,37"
Granada,19 TABACOS,2019,EXPORT,"199360,30"
Granada,1A GRASAS Y ACEITES,2019,EXPORT,"169932773,78"
Granada,1B SEMILLAS Y FRUTOS OLEAGINOSOS,2019,EXPORT,"2028882,75"
Granada,1C PIENSOS ANIMALES,2019,EXPORT,"6062699,56"
Granada,21 CARBON,2019,EXPORT,"19581,84"
Granada,22 PETROLEO Y DERIVADOS,2019,EXPORT,"4469722,86"
Granada,23 GAS,2019,EXPORT,"29870,58"
Granada,24 CORRIENTE ELECTRICA,2019,EXPORT,
Granada,31 MAT. PRIMAS ANIMALES Y VEGETAL,2019,EXPORT,"39711750,54"
Granada,32 MENAS Y MINERALES,2019,EXPORT,"25329227,65"
Granada,41 METALES NO FERROSOS,2019,EXPORT,"466394,02"
Granada,42 HIERRO Y ACERO,2019,EXPORT,"1121665,11"
Granada,43 PRODUCTOS QUIMICOS,2019,EXPORT,"166203822,17"
Granada,44 OTRAS SEMIMANUFACTURAS,2019,EXPORT,"65908067,95"
Granada,51 MAQ. ESPECIFICA CIERTAS INDUST,2019,EXPORT,"43890453,04"
Granada,52 EQUIPO OFICINA Y TELECOMUNIC.,2019,EXPORT,"27696052,08"
Granada,53 MATERIAL TRANSPORTE,2019,EXPORT,"1005010,48"
Granada,54 OTROS BIENES DE EQUIPO,2019,EXPORT,"81023498,53"
Granada,61 AUTOMOVILES Y MOTOS,2019,EXPORT,"2184954,30"
Granada,62 COMPONENTES DEL AUTOMOVIL,2019,EXPORT,"942611,23"
Granada,71 ELECTRODOMESTICOS,2019,EXPORT,"1952713,09"
Granada,72 ELECTRONICA DE CONSUMO,2019,EXPORT,"599246,92"
Granada,73 MUEBLES,2019,EXPORT,"4252298,00"
Granada,74 OTROS BIENES CONSUMO DURADERO,2019,EXPORT,"3147659,77"
Granada,81 TEXTILES Y CONFECCION,2019,EXPORT,"6376889,81"
Granada,82 CALZADO,2019,EXPORT,"6656080,82"
Granada,83 JUGUETES,2019,EXPORT,"589081,54"
Granada,84 ALFARERIA,2019,EXPORT,"787239,38"
Granada,85 JOYERIA Y RELOJES,2019,EXPORT,"4087688,09"
Granada,86 CUERO Y MANUFACTURAS DEL CUERO,2019,EXPORT,"3388,50"
