fila,subfila,columna,subcolumna,valor
OC - Oceanía,1995,EXPORT,,"313,85"
OC - Oceanía,1996,EXPORT,,"310,07"
OC - Oceanía,1997,EXPORT,,"414,83"
OC - Oceanía,1998,EXPORT,,"448,35"
OC - Oceanía,1999,EXPORT,,"482,67"
OC - Oceanía,2000,EXPORT,,"507,93"
OC - Oceanía,2001,EXPORT,,"528,93"
OC - Oceanía,2002,EXPORT,,"627,17"
OC - Oceanía,2003,EXPORT,,"679,63"
OC - Oceanía,2004,EXPORT,,"891,73"
OC - Oceanía,2006,EXPORT,,"969,86"
OC - Oceanía,2005,EXPORT,,"985,90"
OC - Oceanía,2007,EXPORT,,"1234,57"
OC - Oceanía,2009,EXPORT,,"950,09"
OC - Oceanía,2008,EXPORT,,"1206,65"
OC - Oceanía,2010,EXPORT,,"1246,37"
OC - Oceanía,2011,EXPORT,,"1736,28"
OC - Oceanía,2012,EXPORT,,"2388,93"
OC - Oceanía,2013,EXPORT,,"2694,37"
OC - Oceanía,2014,EXPORT,,"1798,79"
OC - Oceanía,2015,EXPORT,,"1808,63"
OC - Oceanía,2016,EXPORT,,"1610,98"
OC - Oceanía,2018,EXPORT,,"1915,17"
OC - Oceanía,2017,EXPORT,,"1999,29"
OC - Oceanía,2019,EXPORT,,"1869,50"
OC - Oceanía,2020,EXPORT,,"1506,29"
Total Mundo,Total seleccionado,EXPORT,,"4653959,86"
Total Mundo,1995,EXPORT,,"69962,21"
Total Mundo,1996,EXPORT,,"78212,10"
Total Mundo,1997,EXPORT,,"93419,37"
Total Mundo,1998,EXPORT,,"99849,46"
Total Mundo,1999,EXPORT,,"104788,63"
Total Mundo,2000,EXPORT,,"124177,34"
Total Mundo,2001,EXPORT,,"129771,01"
Total Mundo,2002,EXPORT,,"133267,68"
Total Mundo,2003,EXPORT,,"138119,05"
Total Mundo,2004,EXPORT,,"146924,72"
Total Mundo,2006,EXPORT,,"170438,63"
Total Mundo,2005,EXPORT,,"155004,73"
Total Mundo,2007,EXPORT,,"185023,22"
Total Mundo,2009,EXPORT,,"159889,55"
Total Mundo,2008,EXPORT,,"189227,85"
Total Mundo,2010,EXPORT,,"186780,07"
Total Mundo,2011,EXPORT,,"215230,37"
Total Mundo,2012,EXPORT,,"226114,59"
Total Mundo,2013,EXPORT,,"235814,07"
Total Mundo,2014,EXPORT,,"240581,83"
Total Mundo,2015,EXPORT,,"249794,42"
Total Mundo,2016,EXPORT,,"256393,38"
Total Mundo,2018,EXPORT,,"285260,54"
Total Mundo,2017,EXPORT,,"276142,91"
Total Mundo,2019,EXPORT,,"290089,07"
Total Mundo,2020,EXPORT,,"213683,07"
AF - Africa,Total seleccionado,IMPORT,,"463031,27"
AF - Africa,1995,IMPORT,,"4985,43"
AF - Africa,1996,IMPORT,,"5652,52"
AF - Africa,1997,IMPORT,,"6478,17"
AF - Africa,1998,IMPORT,,"5898,38"
AF - Africa,1999,IMPORT,,"6928,58"
AF - Africa,2000,IMPORT,,"12401,38"
AF - Africa,2001,IMPORT,,"12617,09"
AF - Africa,2002,IMPORT,,"11472,15"
AF - Africa,2003,IMPORT,,"12202,97"
AF - Africa,2004,IMPORT,,"13394,94"
