fila,subfila,columna,subcolumna,valor
6 SECTOR AUTOMOVIL,,1997,IMPORT,"15599424,26"
7 BIENES DE CONSUMO DURADERO,,1997,IMPORT,"3180042,53"
9 OTRAS MERCANCIAS,,1997,IMPORT,"752016,37"
8 MANUFACTURAS DE CONSUMO,,1997,IMPORT,"11366840,28"
Total seleccionado,,1998,EXPORT,"99849457,80"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,1998,EXPORT,"15229291,50"
2 PRODUCTOS ENERGETICOS,,1998,EXPORT,"2060109,04"
3 MATERIAS PRIMAS,,1998,EXPORT,"1750265,34"
4 SEMIMANUFACTURAS,,1998,EXPORT,"20711605,23"
5 BIENES DE EQUIPO,,1998,EXPORT,"22153515,38"
6 SECTOR AUTOMOVIL,,1998,EXPORT,"21644248,07"
7 BIENES DE CONSUMO DURADERO,,1998,EXPORT,"3838465,94"
9 OTRAS MERCANCIAS,,1998,EXPORT,"1682859,91"
8 MANUFACTURAS DE CONSUMO,,1998,EXPORT,"10779097,40"
Total seleccionado,,1998,IMPORT,"122856109,63"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,1998,IMPORT,"14032824,19"
2 PRODUCTOS ENERGETICOS,,1998,IMPORT,"7831471,12"
3 MATERIAS PRIMAS,,1998,IMPORT,"4717031,16"
4 SEMIMANUFACTURAS,,1998,IMPORT,"27367805,37"
5 BIENES DE EQUIPO,,1998,IMPORT,"32156820,33"
6 SECTOR AUTOMOVIL,,1998,IMPORT,"19854255,77"
7 BIENES DE CONSUMO DURADERO,,1998,IMPORT,"3657353,86"
9 OTRAS MERCANCIAS,,1998,IMPORT,"648704,74"
8 MANUFACTURAS DE CONSUMO,,1998,IMPORT,"12589843,09"
Total seleccionado,,1999,EXPORT,"104788627,15"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,1999,EXPORT,"15301671,01"
2 PRODUCTOS ENERGETICOS,,1999,EXPORT,"2296879,30"
3 MATERIAS PRIMAS,,1999,EXPORT,"1946633,04"
4 SEMIMANUFACTURAS,,1999,EXPORT,"21837353,78"
5 BIENES DE EQUIPO,,1999,EXPORT,"23702631,13"
6 SECTOR AUTOMOVIL,,1999,EXPORT,"23071718,80"
7 BIENES DE CONSUMO DURADERO,,1999,EXPORT,"3858292,77"
9 OTRAS MERCANCIAS,,1999,EXPORT,"1637112,83"
8 MANUFACTURAS DE CONSUMO,,1999,EXPORT,"11136334,49"
Total seleccionado,,1999,IMPORT,"139093706,09"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,1999,IMPORT,"14516909,50"
2 PRODUCTOS ENERGETICOS,,1999,IMPORT,"9948949,27"
3 MATERIAS PRIMAS,,1999,IMPORT,"4607461,29"
4 SEMIMANUFACTURAS,,1999,IMPORT,"28805367,49"
5 BIENES DE EQUIPO,,1999,IMPORT,"38985217,40"
6 SECTOR AUTOMOVIL,,1999,IMPORT,"23810061,92"
7 BIENES DE CONSUMO DURADERO,,1999,IMPORT,"3948962,43"
9 OTRAS MERCANCIAS,,1999,IMPORT,"727594,57"
8 MANUFACTURAS DE CONSUMO,,1999,IMPORT,"13743182,23"
Total seleccionado,,2000,EXPORT,"124177336,03"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2000,EXPORT,"16972882,42"
2 PRODUCTOS ENERGETICOS,,2000,EXPORT,"4573019,36"
3 MATERIAS PRIMAS,,2000,EXPORT,"2461575,09"
4 SEMIMANUFACTURAS,,2000,EXPORT,"26901524,19"
5 BIENES DE EQUIPO,,2000,EXPORT,"27072616,73"
6 SECTOR AUTOMOVIL,,2000,EXPORT,"27078215,27"
7 BIENES DE CONSUMO DURADERO,,2000,EXPORT,"4329732,18"
9 OTRAS MERCANCIAS,,2000,EXPORT,"2059828,34"
8 MANUFACTURAS DE CONSUMO,,2000,EXPORT,"12727942,44"
Total seleccionado,,2000,IMPORT,"169468101,39"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,2000,IMPORT,"15445441,48"
2 PRODUCTOS ENERGETICOS,,2000,IMPORT,"20433200,44"
